date_time,ho_succoutinterenbs1,ho_succoutinterenbx2,ho_succoutintraenb,ho_attoutinterenbs1,ho_attoutinterenbx2,ho_attoutintraenb,pdcp_upoctdl,pdcp_upoctul,rru_pdschprbassn,rru_pdschprbtot,rru_puschprbassn,rru_puschprbtot,rrc_connmax,rrc_connmean,rrc_succconnestab,rrc_attconnreestab,rrc_attconnestab,erab_nbrsuccestab,erab_nbrattestab,erab_nbrreqrelenb,erab_nbrreqrelenb_normal,erab_hofail,erab_nbrleft,erab_nbrfailestab,context_succinitalsetup,pdcp_thrptimeul,pdcp_thrptimedl,pdcp_nbrpktdl,pdcp_nbrpktul,pdcp_uppkttotdelaydl,pdcp_nbrpktlossdl,pdcp_nbrpktlossul,rru_pdcchcceavail,rru_pdcchcceutil,erab_nbrmeanestab_1,erab_nbrhoinc,pdcp_uplastttioctul,pdcp_uplastttioctdl,ho_succoutintrafreq,ho_succoutinterfreq,ho_succexecinc,rrc_effectiveconnmean,rrc_effectiveconnmax,rru_totalprbusagemeanul,rru_totalprbusagemeandl,pdcch_cce_rate,phy_ulmeannl_prb,succ_conn_rate,drop_rate,ho_succ_rate,pag_pagdiscarded,erab_nbrreqrelenb.1,erab_nbrreqrelenb_normal.1
2018-04-04 00:00:00,0.0,10.0,4.0,0.0,10.0,4.0,282135.125,8036.752,5044795.0,54000000.0,302492.0,15655122.0,10.0,4.295,132.0,2.0,132.0,188.0,188.0,181.0,0.0,0.0,7.0,0.0,114.0,7921.0,63690.0,254073.0,42654.0,3575461.0,0.0,0.0,28893233.0,1319613.0,0.0,28.0,4912.865,57755.351,5.0,9.0,18.0,1.264,4.0,0.0,0.0,0.0,-117.45,100.0,0.0,100.0,0.0,112.0,112.0
2018-04-04 00:15:00,0.0,18.0,2.0,0.0,18.0,2.0,459527.681,14686.872,6172523.0,54000000.0,405069.0,15651286.0,9.0,5.263,145.0,2.0,145.0,213.0,213.0,205.0,0.0,0.0,17.0,0.0,134.0,28151.0,88191.0,400139.0,71413.0,6597541.0,0.0,0.0,28965377.0,1369580.0,0.0,41.0,8892.806,74490.495,1.0,19.0,27.0,1.522,5.0,0.0,0.0,0.0,-117.95,100.0,0.0,100.0,0.0,130.0,130.0
2018-04-04 00:30:00,0.0,5.0,6.0,0.0,6.0,6.0,346752.403,55710.609,7412500.0,54000000.0,1189183.0,15636461.0,11.0,6.303,136.0,0.0,136.0,192.0,192.0,208.0,0.0,0.0,13.0,0.0,122.0,135185.0,159366.0,375993.0,163425.0,13044688.0,0.0,0.0,29256443.0,2128725.0,0.0,51.0,23108.021,59637.87,0.0,11.0,25.0,2.451,6.0,0.0,0.0,0.0,-117.79,100.0,0.0,0.0,0.0,130.0,130.0
2018-04-04 00:45:00,0.0,7.0,2.0,0.0,9.0,2.0,262424.649,7176.864,5715567.0,54000000.0,297987.0,15610399.0,11.0,6.496,158.0,3.0,158.0,252.0,252.0,258.0,0.0,0.0,19.0,0.0,145.0,17131.0,89523.0,245844.0,58040.0,11323963.0,0.0,0.0,29784679.0,1909651.0,0.0,43.0,4668.495,46487.132,3.0,6.0,21.0,1.719,5.0,0.0,0.0,0.0,-117.84,100.0,0.0,0.0,0.0,148.0,148.0
2018-04-04 01:00:00,0.0,15.0,2.0,0.0,15.0,2.0,400306.357,6276.089,6530713.0,54000000.0,296320.0,15609576.0,11.0,6.804,182.0,2.0,182.0,289.0,289.0,309.0,0.0,0.0,15.0,0.0,170.0,17543.0,133353.0,357420.0,45132.0,8224680.0,0.0,0.0,29901942.0,2170451.0,0.0,51.0,4401.97,71641.364,7.0,10.0,31.0,1.814,5.0,0.0,0.0,0.0,-116.95,100.0,0.0,100.0,0.0,181.0,181.0
2018-04-04 01:15:00,0.0,37.0,3.0,0.0,37.0,3.0,756382.097,8139.273,9510884.0,54000000.0,318457.0,15533898.0,11.0,6.844,202.0,2.0,202.0,310.0,310.0,326.0,0.0,0.0,15.0,0.0,186.0,21220.0,288664.0,652131.0,76227.0,10742264.0,0.0,0.0,31827960.0,2926915.0,0.0,83.0,5868.742,113759.691,10.0,30.0,55.0,2.303,6.0,0.0,0.0,0.0,-117.78,100.0,0.0,100.0,0.0,196.0,196.0
2018-04-04 01:30:00,0.0,19.0,2.0,0.0,19.0,2.0,1153328.931,13535.315,11941317.0,54000000.0,424203.0,15530723.0,11.0,6.689,226.0,0.0,226.0,370.0,370.0,360.0,0.0,0.0,12.0,0.0,216.0,15377.0,414773.0,991248.0,132406.0,11296060.0,0.0,0.0,31717330.0,4295566.0,0.0,46.0,10423.197,149401.697,4.0,17.0,28.0,2.442,7.0,0.0,0.0,0.0,-117.77,100.0,0.0,100.0,0.0,218.0,218.0
2018-04-04 01:45:00,0.0,21.0,10.0,0.0,21.0,10.0,870262.949,7476.082,9239358.0,54000000.0,287168.0,15332880.0,12.0,6.876,283.0,0.0,283.0,413.0,413.0,437.0,0.0,0.0,11.0,0.0,250.0,15785.0,273398.0,733388.0,66669.0,17076046.0,1.0,0.0,29534104.0,2640566.0,0.0,96.0,5563.523,187880.097,13.0,18.0,50.0,1.817,6.0,0.0,0.0,0.0,-117.76,100.0,0.0,100.0,0.0,264.0,264.0
2018-04-04 02:00:00,0.0,10.0,2.0,0.0,10.0,2.0,840633.524,4770.162,8490035.0,54000000.0,246593.0,15282559.0,10.0,5.697,212.0,1.0,212.0,335.0,335.0,334.0,0.0,0.0,11.0,0.0,197.0,12929.0,220950.0,702629.0,24067.0,5214267.0,0.0,0.0,29158363.0,2340216.0,0.0,36.0,2814.795,156571.457,1.0,11.0,22.0,1.342,4.0,0.0,0.0,0.0,-117.86,100.0,0.0,100.0,0.0,196.0,196.0
2018-04-04 02:15:00,0.0,10.0,1.0,0.0,10.0,1.0,838352.398,3872.8,8434877.0,54000000.0,208196.0,15563796.0,11.0,5.9,207.0,2.0,207.0,326.0,326.0,344.0,0.0,0.0,16.0,0.0,192.0,5311.0,238550.0,698930.0,20384.0,8584621.0,0.0,0.0,29384555.0,2615454.0,0.0,52.0,2670.019,168005.207,0.0,11.0,33.0,1.293,5.0,0.0,0.0,0.0,-117.94,100.0,0.0,100.0,0.0,205.0,205.0
